date,category,n_trades,pnl,n_pre,n_h,n_l,lh_pct,ll_pct,mean_adx,h1,h3,h6,h_trend,vd_high,vd_low,coarse
2025-06-29,neutral,0,0.0,6,4,2,0.0,0.0,28.601354395912782,20.0,18.9,16.6,expanding,8.799999999999919,11.899999999999133,trending_up
2025-06-30,neutral,0,0.0,6,1,5,,75.0,22.79132577767204,34.1,24.8,21.4,expanding,2.20000000000109,7.200000000000095,transitioning
2025-07-01,neutral,0,0.0,6,3,3,0.0,50.0,15.225389608927214,18.5,18.3,16.3,expanding,6.733333333333036,8.500000000000174,transitioning
2025-07-02,good,5,4015.5956718934,6,4,2,100.0,100.0,30.000302836786982,10.1,7.1,7.4,stable,5.000000000000004,10.050000000000336,trending_down
2025-07-03,neutral,0,0.0,6,3,3,0.0,0.0,38.38884303401329,23.2,25.8,19.7,stable,15.400000000000228,9.99999999999964,trending_up
2025-07-04,good,1,1395.0290657798591,6,2,4,100.0,100.0,27.55429088822621,22.0,16.3,13.3,expanding,1.60000000000049,5.749999999999922,trending_down
2025-07-06,neutral,0,0.0,6,1,5,,75.0,43.915045863021874,18.0,10.5,8.0,expanding,6.999999999999229,6.139999999999368,transitioning
2025-07-07,good,2,2839.5553426224487,6,3,3,50.0,50.0,25.77584271398636,11.5,15.6,16.0,contracting,5.233333333332831,4.899999999999534,ranging
2025-07-08,good,2,2884.397776675166,6,3,3,0.0,0.0,19.196033415712147,14.0,15.8,13.4,stable,4.366666666667148,3.4000000000000696,transitioning
2025-07-09,neutral,0,0.0,6,3,3,0.0,50.0,28.276129472262856,25.3,13.0,18.5,stable,10.433333333333591,13.999999999999938,transitioning
2025-07-10,good,1,1466.087399610259,6,4,2,33.333333333333336,100.0,17.658900972400797,19.5,15.1,13.3,expanding,3.4250000000002334,2.60000000000038,transitioning
2025-07-11,good,1,1481.801190920629,6,3,3,50.0,100.0,22.716819742604468,26.0,19.2,18.1,expanding,7.799999999999289,7.3333333333332655,transitioning
2025-07-13,neutral,0,0.0,6,4,2,66.66666666666667,100.0,21.79413545376327,2.9,8.1,7.8,stable,4.924999999998958,3.549999999999942,transitioning
2025-07-14,good,2,3008.3673027267923,6,4,2,33.333333333333336,100.0,31.533817966286847,37.3,25.9,16.5,expanding,16.07500000000095,17.000000000000348,transitioning
2025-07-15,bad,1,-1658.4222715938656,6,4,2,0.0,0.0,25.49781864706115,8.6,11.2,10.3,stable,4.724999999999868,7.000000000000339,trending_up
2025-07-16,neutral,0,0.0,6,4,2,33.333333333333336,0.0,25.092544222960644,7.4,16.2,14.6,stable,8.050000000000557,7.500000000000284,transitioning
2025-07-17,neutral,0,0.0,6,3,3,50.0,50.0,26.44459801227433,20.1,11.2,15.9,stable,10.766666666666888,8.333333333333156,ranging
2025-07-18,neutral,0,0.0,6,4,2,33.333333333333336,100.0,37.099333536007734,8.4,9.3,12.5,contracting,8.650000000000603,8.700000000000374,transitioning
2025-07-20,neutral,0,0.0,6,4,2,100.0,100.0,33.79801728948508,14.5,10.9,9.0,expanding,1.3250000000003537,6.249999999999867,trending_down
2025-07-21,neutral,0,0.0,6,3,3,50.0,50.0,30.68165606614356,12.9,9.0,12.1,stable,11.066666666666633,6.099999999999994,ranging
