T_h,T_adx,strict,trades,net,wr,pct_retained
20,33,False,38,7504.348386886412,63.1578947368421,9.178743961352657
20,33,True,12,-2309.62355955655,41.666666666666664,2.898550724637681
25,0,False,61,3760.404481239266,55.73770491803279,14.734299516908212
25,0,True,24,-8302.033395646817,33.333333333333336,5.797101449275362
25,15,False,60,2941.7381700054257,55.0,14.492753623188406
25,15,True,24,-8302.033395646817,33.333333333333336,5.797101449275362
25,18,False,60,2941.7381700054257,55.0,14.492753623188406
25,18,True,24,-8302.033395646817,33.333333333333336,5.797101449275362
25,20,False,54,5374.784357184996,57.407407407407405,13.043478260869565
25,20,True,22,-7963.386879926222,31.818181818181817,5.314009661835748
25,22,False,49,6499.5914316633325,59.183673469387756,11.83574879227053
25,22,True,19,-5293.412119208856,36.8421052631579,4.5893719806763285
25,25,False,46,6006.409056613248,58.69565217391305,11.11111111111111
25,25,True,18,-6022.850834861606,33.333333333333336,4.3478260869565215
25,28,False,38,2450.9424378173403,55.26315789473684,9.178743961352657
25,28,True,16,-4377.350438985209,37.5,3.864734299516908
25,30,False,35,3315.318136605761,57.142857142857146,8.454106280193237
25,30,True,13,-3512.974740196787,38.46153846153846,3.140096618357488
25,33,False,30,2634.2310557010196,56.666666666666664,7.246376811594203
25,33,True,11,-1406.0151817703731,45.45454545454545,2.657004830917874
30,0,False,40,1529.5338605891018,55.0,9.66183574879227
30,0,True,20,-4664.954045237767,40.0,4.830917874396135
30,15,False,39,710.8675493552627,53.84615384615385,9.420289855072463
30,15,True,20,-4664.954045237767,40.0,4.830917874396135
30,18,False,39,710.8675493552627,53.84615384615385,9.420289855072463
30,18,True,20,-4664.954045237767,40.0,4.830917874396135
30,20,False,35,2924.1705510040433,57.142857142857146,8.454106280193237
30,20,True,18,-4326.307529517171,38.888888888888886,4.3478260869565215
30,22,False,32,3864.2346326727716,59.375,7.729468599033816
30,22,True,16,-2558.2707330884828,43.75,3.864734299516908
30,25,False,30,2444.7512607532435,56.666666666666664,7.246376811594203
30,25,True,15,-3287.7094487412314,40.0,3.6231884057971016
30,28,False,27,1783.6142469224524,55.55555555555556,6.521739130434782
30,28,True,14,-2395.587645957494,42.857142857142854,3.3816425120772946
30,30,False,25,1752.6340159826668,56.0,6.038647342995169
30,30,True,12,-2426.567876897279,41.666666666666664,2.898550724637681
30,33,False,21,1925.655584611401,57.142857142857146,5.072463768115942
30,33,True,10,-319.60831847086456,50.0,2.4154589371980677
