entry_idx,exit_idx,direction,entry,exit,stop,target,size,pnl,win,result,mae,adx_at_entry,atr_at_entry,fractal_bar,fractal_label,timestamp,entry_ts,frk_kind,h1,h3,h6,adx_fr
11958,12011,short,1.24654,1.24295,1.25013,1.24295,277363.0670706697,967.9971040766324,True,TP,7.00000000000145e-05,27.824791771205316,0.0008197110428428648,11956,H,2025-01-30 20:35:00+00:00,2025-01-30 16:10:00+00:00,H,9.600000000000719,13.63333333333309,15.316666666666348,27.405867319571925
12018,12258,short,1.24222,1.24721,1.24711,1.2373300000000003,205606.00855306725,-1046.534583535077,False,SL,0.004889999999999839,35.743242884599745,0.001011270144377975,12016,H,2025-01-31 17:10:00+00:00,2025-01-30 21:10:00+00:00,H,34.000000000000696,32.36666666666702,19.11666666666719,34.6325927349628
12279,12316,short,1.23969,1.23494,1.24444,1.23494,209462.74441875966,974.0017615472391,True,TP,0.0013600000000000279,37.45912188321934,0.0013280074903464945,12277,H,2025-02-02 22:00:00+00:00,2025-01-31 18:55:00+00:00,H,25.400000000002088,44.40000000000148,40.35000000000011,37.27112333460427
12321,12339,short,1.23071,1.22753,1.23389,1.22753,315939.63949830184,973.0940896547572,True,TP,0.0016000000000000458,37.43370239150291,0.0012039802032648773,12319,H,2025-02-03 00:20:00+00:00,2025-02-02 22:50:00+00:00,H,35.00000000000058,58.966666666666605,40.23333333333304,32.84162862982848
12343,12483,short,1.22781,1.2332599999999998,1.2331599999999998,1.2224600000000003,189611.027009567,-1052.3411999030461,False,SL,0.005499999999999838,30.92398996908694,0.0013263024796565355,12341,H,2025-02-03 12:20:00+00:00,2025-02-03 00:40:00+00:00,H,37.69999999999829,36.76666666666551,32.31666666666633,31.414693471188354
12516,12519,short,1.23482,1.2386499999999998,1.2385499999999998,1.2310900000000002,269140.90683704056,-1057.7237638695096,False,SL,0.005539999999999878,23.387501858211568,0.0010684143550507934,12514,H,2025-02-03 15:20:00+00:00,2025-02-03 15:05:00+00:00,H,8.500000000000174,16.933333333333987,21.950000000000212,25.70147953075358
12625,12684,short,1.2425,1.2383,1.2467,1.2383,236504.36782462234,969.6679080809472,True,TP,0.0003500000000000725,20.229769406014714,0.0007206756816822262,12623,H,2025-02-04 05:05:00+00:00,2025-02-04 00:10:00+00:00,H,12.799999999999478,23.799999999999745,25.999999999999357,19.910991323068817
12740,12803,short,1.24268,1.2467199999999998,1.2466199999999998,1.2387400000000002,254572.34110260446,-1053.9294921647372,False,SL,0.004089999999999927,17.06533903165202,0.0007787445910495284,12738,H,2025-02-04 15:00:00+00:00,2025-02-04 09:45:00+00:00,H,31.200000000000117,29.266666666667437,22.10000000000082,19.528166466196282
12815,13020,short,1.24806,1.2514699999999999,1.2513699999999999,1.24475,299841.6099766146,-1052.4440510178913,False,SL,0.0035400000000000986,56.426961406309026,0.0009171439880740223,12813,H,2025-02-05 09:05:00+00:00,2025-02-04 16:00:00+00:00,H,11.099999999999444,32.36666666666628,32.96666666666578,54.86605074209532
13056,13228,short,1.2529,1.24917,1.25663,1.24917,263257.7180998363,955.6255167024087,True,TP,0.0015600000000000058,32.371847410461115,0.0006529153397017794,13054,H,2025-02-06 02:25:00+00:00,2025-02-05 12:05:00+00:00,H,3.2999999999994145,9.733333333331965,16.683333333332346,35.62150213954343
